	winner	outcome	loser	duration	matchtype	date	city	state
4	The Big Show	def. (pin)	Titus O&#39;Neil	02:24	&nbsp;	Mar 24th 2014	Brooklyn	New York
5	John Cena	draw (NC)	Luke Harper	11:58	&nbsp;	Mar 24th 2014	Brooklyn	New York
6	Naomi	def. (CO)	A. J. Lee	01:11	&nbsp;	Mar 24th 2014	Brooklyn	New York
7	Dean Ambrose	def. (pin)	Cesaro	14:09	&nbsp;	Mar 24th 2014	Brooklyn	New York
0	Emma	def. (sub)	Summer Rae		&nbsp;	Mar 24th 2014	Brooklyn	New York
1	R-Truth	def. (pin)	Drew McIntyre		&nbsp;	Mar 24th 2014	Brooklyn	New York
0	Fernando	def.	Fandango		&nbsp;	Mar 18th 2014	Houston	Texas
1	Dolph Ziggler	def. (pin)	Damien Sandow		&nbsp;	Mar 18th 2014	Houston	Texas
2	Dean Ambrose	def. (DQ)	Cesaro		fatal 4-way tag	Mar 18th 2014	Houston	Texas
3	The Big Show	def.	Alberto Del Rio		Unsanctioned Battle Royal	Mar 18th 2014	Houston	Texas
4	Alberto Del Rio	def. (pin)	Big E		&nbsp;	Mar 18th 2014	Houston	Texas
5	Brie Bella	def. (pin)	Natalya		&nbsp;	Mar 18th 2014	Houston	Texas
6	John Cena	def. (pin)	Luke Harper		&nbsp;	Mar 18th 2014	Houston	Texas
0	Cody Rhodes	def. (pin)	Cesaro	14:00	&nbsp;	Mar 18th 2014	Houston	Texas
1	Cameron	def. (pin)	Alicia Fox	05:00	&nbsp;	Mar 18th 2014	Houston	Texas
2	The Big Show	def. (pin)	Titus O&#39;Neil	04:00	&nbsp;	Mar 18th 2014	Houston	Texas
0	Cesaro	def. (pin)	Jey Uso	12:22	&nbsp;	Mar 17th 2014	San Antonio	Texas
1	Sheamus	def. (pin)	Titus O&#39;Neil	04:07	&nbsp;	Mar 17th 2014	San Antonio	Texas
2	Daniel Bryan	def. (pin)	Randy Orton	14:36	no disqualification	Mar 17th 2014	San Antonio	Texas
3	Goldust	def. (pin)	Fandango	05:11	&nbsp;	Mar 17th 2014	San Antonio	Texas
4	Cameron	def. (pin)	A. J. Lee	03:37	&nbsp;	Mar 17th 2014	San Antonio	Texas
5	Big E	def. (pin)	Alberto Del Rio	09:03	8-person tag	Mar 17th 2014	San Antonio	Texas
6	Bray Wyatt	def. (pin)	Kofi Kingston	02:55	&nbsp;	Mar 17th 2014	San Antonio	Texas
0	Natalya	def.	Alicia Fox		&nbsp;	Mar 17th 2014	San Antonio	Texas
1	R-Truth	def. (pin)	Drew McIntyre		&nbsp;	Mar 17th 2014	San Antonio	Texas
0	Sheamus	def. (pin)	Heath Slater		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
1	Seth Rollins	def. (pin)	Damien Sandow		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
2	Big E	def. (pin)	Fandango		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
3	Cody Rhodes	def. (pin)	Cesaro		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
4	Bray Wyatt	def. (pin)	Kofi Kingston		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
5	Nikki Bella	def. (pin)	Tamina Snuka		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
6	Dolph Ziggler	def. (pin)	Alberto Del Rio		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
7	The Big Show	def. (pin)	Kane		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
0	Diego	def. (pin)	Curtis Axel		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
1	A. J. Lee	def. (sub)	Natalya		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
2	Dean Ambrose	def. (pin)	Mark Henry		&nbsp;	Mar 11th 2014	Little Rock	Arkansas
0	John Cena	def. (pin)	Erick Rowan	03:27	&nbsp;	Mar 10th 2014	Memphis	Tennessee
1	Jey Uso	def. (pin)	Curtis Axel	03:01	&nbsp;	Mar 10th 2014	Memphis	Tennessee
2	Big E	def. (pin)	Jack Swagger	03:01	&nbsp;	Mar 10th 2014	Memphis	Tennessee
3	Roman Reigns	def. (pin)	Cody Rhodes	14:21	&nbsp;	Mar 10th 2014	Memphis	Tennessee
4	Brie Bella	def. (pin)	A. J. Lee	04:39	&nbsp;	Mar 10th 2014	Memphis	Tennessee
5	Sheamus	def. (pin)	Christian	14:27	street fight	Mar 10th 2014	Memphis	Tennessee
6	Daniel Bryan	def. (pin)	Batista	13:21	&nbsp;	Mar 10th 2014	Memphis	Tennessee
0	Alberto Del Rio	def.	Sin Cara		&nbsp;	Mar 10th 2014	Memphis	Tennessee
1	Dolph Ziggler	def.	Fandango		&nbsp;	Mar 10th 2014	Memphis	Tennessee
0	Christian	def. (pin)	Dolph Ziggler		&nbsp;	Mar 4th 2014	Detroit	Michigan
1	Jey Uso	def. (pin)	Curtis Axel		&nbsp;	Mar 4th 2014	Detroit	Michigan
2	Eva Marie	def. (sub)	A. J. Lee		&nbsp;	Mar 4th 2014	Detroit	Michigan
3	Sheamus	def. (pin)	Alberto Del Rio		&nbsp;	Mar 4th 2014	Detroit	Michigan
4	Big E	def. (pin)	Jack Swagger		dark &nbsp;	Mar 4th 2014	Detroit	Michigan
5	Daniel Bryan	def. (pin)	Batista		&nbsp;	Mar 4th 2014	Detroit	Michigan
0	Daniel Bryan	def. (pin)	Kane	18:21	&nbsp;	Mar 4th 2014	Detroit	Michigan
1	Nikki Bella	def. (pin)	Alicia Fox	04:40	&nbsp;	Mar 4th 2014	Detroit	Michigan
2	Jey Uso	def. (pin)	Diego	09:39	&nbsp;	Mar 4th 2014	Detroit	Michigan
0	Jey Uso	def. (pin)	Billy Gunn	09:29	&nbsp;	Mar 3rd 2014	Chicago	Illinois
1	Big E	def. (DQ)	Cesaro	01:25	&nbsp;	Mar 3rd 2014	Chicago	Illinois
2	Bray Wyatt	def. (pin)	Dean Ambrose	13:53	6-person tag	Mar 3rd 2014	Chicago	Illinois
3	Emma	def. (sub)	Fandango	03:19	&nbsp;	Mar 3rd 2014	Chicago	Illinois
4	Sheamus	def. (pin)	Christian	14:09	&nbsp;	Mar 3rd 2014	Chicago	Illinois
5	Brie Bella	def. (pin)	Aksana	04:24	&nbsp;	Mar 3rd 2014	Chicago	Illinois
6	Dolph Ziggler	def. (pin)	Alberto Del Rio	02:44	&nbsp;	Mar 3rd 2014	Chicago	Illinois
7	Big E	def. (DQ)	Jack Swagger	00:06	&nbsp;	Mar 3rd 2014	Chicago	Illinois
8	Daniel Bryan	def. (DQ)	Batista	10:16	&nbsp;	Mar 3rd 2014	Chicago	Illinois
0	Titus O&#39;Neil	def. (pin)	Zack Ryder		&nbsp;	Mar 3rd 2014	Chicago	Illinois
1	Diego	def. (pin)	Curtis Axel		&nbsp;	Mar 3rd 2014	Chicago	Illinois
0	Cesaro	def. (pin)	Big E		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
1	Sheamus	def. (DQ)	Alberto Del Rio		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
2	Batista	def. (pin)	Dolph Ziggler		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
3	A. J. Lee	def. (pin)	Cameron		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
4	Daniel Bryan	def. (pin)	Billy Gunn		6-person tag	Feb 25th 2014	Milwaukee	Wisconsin
0	Cody Rhodes	def. (pin)	Curtis Axel		10-person tag	Feb 25th 2014	Milwaukee	Wisconsin
1	Aksana	def. (pin)	Eva Marie		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
2	Darren Young	def. (pin)	Titus O&#39;Neil		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
3	Sin Cara	def. (pin)	Damien Sandow		&nbsp;	Feb 25th 2014	Milwaukee	Wisconsin
0	Alberto Del Rio	def. (pin)	Batista	09:49	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
1	Big E	def. (DQ)	Cesaro	16:38	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
2	Sheamus	def. (pin)	Christian	16:05	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
3	Daniel Bryan	def. (pin)	Kane	15:47	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
4	Emma	def. (sub)	Summer Rae	03:29	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
5	Jey Uso	def. (pin)	Billy Gunn	01:14	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
6	Bray Wyatt	def. (DQ)	Roman Reigns	13:54	&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
0	Kofi Kingston	def. (pin)	Damien Sandow		&nbsp;	Feb 24th 2014	Green Bay	Wisconsin
1	Cody Rhodes	def. (pin)	Curtis Axel		8-person tag	Feb 24th 2014	Green Bay	Wisconsin
0	Cody Rhodes	def. (pin)	Curtis Axel	08:53	dark &nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
1	Big E	def. (pin)	Jack Swagger	11:48	&nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
2	Billy Gunn	def. (pin)	Jey Uso	08:35	&nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
3	Titus O&#39;Neil	def. (pin)	Darren Young	06:16	&nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
4	Bray Wyatt	def. (pin)	Dean Ambrose	22:39	6-person tag	Feb 23rd 2014	Minneapolis	Minnesota
5	Cameron	def. (DQ)	A. J. Lee	03:58	&nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
6	Batista	def. (pin)	Alberto Del Rio	07:08	&nbsp;	Feb 23rd 2014	Minneapolis	Minnesota
7	Randy Orton	def. (pin)	Cesaro	37:33	"""Elimination Chamber"""	Feb 23rd 2014	Minneapolis	Minnesota
0	Daniel Bryan	def. (pin)	Jack Swagger		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
1	Daniel Bryan	def. (DQ)	Cesaro		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
2	Bray Wyatt	def. (pin)	Cody Rhodes		6-person tag	Feb 18th 2014	Colorado Springs	Colorado
3	Emma	def.	Summer Rae		dance-off	Feb 18th 2014	Colorado Springs	Colorado
4	Dolph Ziggler	def. (pin)	Titus O&#39;Neil		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
5	Jimmy Uso	def. (pin)	Road Dogg		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
6	Sheamus	def. (pin)	Christian		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
0	Dean Ambrose	def. (pin)	Diego		6-person tag	Feb 18th 2014	Colorado Springs	Colorado
1	Cameron	def. (pin)	Aksana		&nbsp;	Feb 18th 2014	Colorado Springs	Colorado
0	Daniel Bryan	def. (pin)	Christian	08:26	&nbsp;	Feb 17th 2014	Denver	Colorado
1	Daniel Bryan	def. (DQ)	Kane	03:51	&nbsp;	Feb 17th 2014	Denver	Colorado
2	Fandango	def. (pin)	Santino Marella	02:42	&nbsp;	Feb 17th 2014	Denver	Colorado
3	Roman Reigns	def. (pin)	Mark Henry	02:49	&nbsp;	Feb 17th 2014	Denver	Colorado
4	Jack Swagger	def. (sub)	Kofi Kingston	04:54	&nbsp;	Feb 17th 2014	Denver	Colorado
5	Big E	def. (pin)	Drew McIntyre	04:18	handicap tag	Feb 17th 2014	Denver	Colorado
6	John Cena	def. (pin)	Cesaro	19:06	&nbsp;	Feb 17th 2014	Denver	Colorado
7	Bray Wyatt	def. (pin)	Diego	05:34	6-person tag	Feb 17th 2014	Denver	Colorado
8	Jey Uso	def. (pin)	Billy Gunn	03:32	&nbsp;	Feb 17th 2014	Denver	Colorado
9	Sheamus	def. (DQ)	Randy Orton	15:00	&nbsp;	Feb 17th 2014	Denver	Colorado
0	Cody Rhodes	def. (pin)	Curtis Axel		&nbsp;	Feb 17th 2014	Denver	Colorado
1	Brie Bella	def. (pin)	Eva Marie		6-person tag	Feb 17th 2014	Denver	Colorado
0	Dean Ambrose	def. (pin)	Christian		6-person tag	Feb 11th 2014	Ontario	California
1	Jack Swagger	def. (pin)	Kofi Kingston		four-way	Feb 11th 2014	Ontario	California
2	Eva Marie	def. (pin)	Alicia Fox		dark &nbsp;	Feb 11th 2014	Ontario	California
3	Cody Rhodes	def. (pin)	Billy Gunn		8-person tag	Feb 11th 2014	Ontario	California
4	Darren Young	def. (pin)	Damien Sandow		&nbsp;	Feb 11th 2014	Ontario	California
5	The Miz	def. (pin)	Fandango		&nbsp;	Feb 11th 2014	Ontario	California
6	Cesaro	def. (pin)	Randy Orton	13:11	&nbsp;	Feb 11th 2014	Ontario	California
0	Bray Wyatt	def. (pin)	Diego		6-person tag	Feb 11th 2014	Ontario	California
1	Natalya	def. (sub)	Aksana		&nbsp;	Feb 11th 2014	Ontario	California
2	Big E. Langston	def. (pin)	Drew McIntyre		&nbsp;	Feb 11th 2014	Ontario	California
3	Big E. Langston	def. (pin)	Jinder Mahal		&nbsp;	Feb 11th 2014	Ontario	California
0	Bray Wyatt	def. (pin)	Cody Rhodes	10:36	6-person tag	Feb 10th 2014	Los Angeles	California
1	Fandango	def. (pin)	Santino Marella	02:17	&nbsp;	Feb 10th 2014	Los Angeles	California
2	Christian	def. (pin)	Antonio Cesaro	14:35	&nbsp;	Feb 10th 2014	Los Angeles	California
3	Alberto Del Rio	def. (pin)	Dolph Ziggler	01:34	&nbsp;	Feb 10th 2014	Los Angeles	California
4	Curtis Axel	def. (pin)	Jey Uso	04:22	&nbsp;	Feb 10th 2014	Los Angeles	California
5	Mark Henry	def. (DQ)	Dean Ambrose	08:08	&nbsp;	Feb 10th 2014	Los Angeles	California
6	Brie Bella	def. (pin)	A. J. Lee	05:08	6-person tag	Feb 10th 2014	Los Angeles	California
7	John Cena	def. (pin)	Randy Orton	20:45	&nbsp;	Feb 10th 2014	Los Angeles	California
0	Big E. Langston	def. (pin)	Drew McIntyre		&nbsp;	Feb 10th 2014	Los Angeles	California
1	Natalya	def. (pin)	Tamina Snuka		&nbsp;	Feb 10th 2014	Los Angeles	California
0	Dolph Ziggler	def. (pin)	Damien Sandow		&nbsp;	Feb 9th 2014	Bakersfield	California
1	Diego	def. (pin)	Drew McIntyre		6-person tag	Feb 9th 2014	Bakersfield	California
2	Emma	def. (sub)	A. J. Lee		&nbsp;	Feb 9th 2014	Bakersfield	California
3	Dean Ambrose	def. (pin)	Kofi Kingston		&nbsp;	Feb 9th 2014	Bakersfield	California
4	Christian	def. (pin)	Roman Reigns		&nbsp;	Feb 9th 2014	Bakersfield	California
5	Jey Uso	def. (pin)	Erick Rowan		&nbsp;	Feb 9th 2014	Bakersfield	California
6	The Big Show	def. (pin)	Kane		&nbsp;	Feb 9th 2014	Bakersfield	California
7	Bray Wyatt	def. (pin)	Daniel Bryan		steel cage	Feb 9th 2014	Bakersfield	California
0	Dean Ambrose	def. (pin)	Dolph Ziggler		&nbsp;	Feb 4th 2014	Des Moines	Iowa
1	Sheamus	def. (pin)	Ryback		&nbsp;	Feb 4th 2014	Des Moines	Iowa
2	Daniel Bryan	def. (pin)	Antonio Cesaro		&nbsp;	Feb 4th 2014	Des Moines	Iowa
3	A. J. Lee	def. (pin)	Nikki Bella		&nbsp;	Feb 4th 2014	Des Moines	Iowa
4	Bray Wyatt	def. (pin)	Goldust		&nbsp;	Feb 4th 2014	Des Moines	Iowa
5	Randy Orton	def. (pin)	Christian		&nbsp;	Feb 4th 2014	Des Moines	Iowa
0	The Miz	def. (pin)	Fandango		&nbsp;	Feb 4th 2014	Des Moines	Iowa
1	Alberto Del Rio	def. (pin)	Zack Ryder		&nbsp;	Feb 4th 2014	Des Moines	Iowa
2	Big E. Langston	def. (pin)	Curtis Axel		&nbsp;	Feb 4th 2014	Des Moines	Iowa
0	Dean Ambrose	def. (pin)	Big E. Langston	11:36	6-person tag	Feb 3rd 2014	Omaha	Nebraska
1	Christian	def. (pin)	Jack Swagger	05:58	&nbsp;	Feb 3rd 2014	Omaha	Nebraska
2	Billy Gunn	def. (pin)	Cody Rhodes	16:20	steel cage (2 on 2)	Feb 3rd 2014	Omaha	Nebraska
3	Titus O&#39;Neil	def. (pin)	Zack Ryder	02:45	&nbsp;	Feb 3rd 2014	Omaha	Nebraska
4	Emma	def.	Summer Rae		dance-off	Feb 3rd 2014	Omaha	Nebraska
5	Sheamus	def. (pin)	Ryback	07:04	&nbsp;	Feb 3rd 2014	Omaha	Nebraska
6	Bray Wyatt	def. (pin)	Dolph Ziggler	05:01	6-person tag	Feb 3rd 2014	Omaha	Nebraska
7	Naomi	def. (pin)	Aksana	04:51	&nbsp;	Feb 3rd 2014	Omaha	Nebraska
8	Daniel Bryan	def. (pin)	Randy Orton	27:54	&nbsp;	Feb 3rd 2014	Omaha	Nebraska
0	Tamina Snuka	def. (pin)	Natalya		&nbsp;	Feb 3rd 2014	Omaha	Nebraska
1	Diego	def. (pin)	Curt Hawkins		8-person tag	Feb 3rd 2014	Omaha	Nebraska
0	Antonio Cesaro	def. (pin)	Dolph Ziggler		&nbsp;	Jan 28th 2014	Toledo	Ohio
1	Fandango	def. (pin)	Xavier Woods		&nbsp;	Jan 28th 2014	Toledo	Ohio
2	Curtis Axel	def. (pin)	Darren Young		&nbsp;	Jan 28th 2014	Toledo	Ohio
3	Christian	def. (pin)	Jack Swagger		&nbsp;	Jan 28th 2014	Toledo	Ohio
4	Kofi Kingston	def. (pin)	Damien Sandow		&nbsp;	Jan 28th 2014	Toledo	Ohio
5	Cody Rhodes	def. (pin)	Road Dogg		&nbsp;	Jan 28th 2014	Toledo	Ohio
6	Dean Ambrose	def. (pin)	Daniel Bryan		6-person tag	Jan 28th 2014	Toledo	Ohio
0	Alberto Del Rio	def. (pin)	R-Truth		&nbsp;	Jan 28th 2014	Toledo	Ohio
1	Natalya	def. (pin)	Tamina Snuka		&nbsp;	Jan 28th 2014	Toledo	Ohio
2	Big E. Langston	def. (pin)	Drew McIntyre		6-person tag	Jan 28th 2014	Toledo	Ohio
0	Antonio Cesaro	def. (pin)	Rey Mysterio	09:31	&nbsp;	Jan 27th 2014	Cleveland	Ohio
1	R-Truth	def. (pin)	Fandango	03:31	&nbsp;	Jan 27th 2014	Cleveland	Ohio
2	Dolph Ziggler	def. (pin)	The Miz	04:10	&nbsp;	Jan 27th 2014	Cleveland	Ohio
3	Jey Uso	def. (pin)	Curtis Axel	06:00	&nbsp;	Jan 27th 2014	Cleveland	Ohio
4	Alberto Del Rio	def. (pin)	Kofi Kingston	13:40	&nbsp;	Jan 27th 2014	Cleveland	Ohio
5	Cody Rhodes	def. (DQ)	Billy Gunn	11:43	&nbsp;	Jan 27th 2014	Cleveland	Ohio
6	Brie Bella	def. (pin)	A. J. Lee	05:40	8-person tag	Jan 27th 2014	Cleveland	Ohio
7	Daniel Bryan	def. (DQ)	Dean Ambrose	23:31	6-person tag	Jan 27th 2014	Cleveland	Ohio
0	Natalya	def. (pin)	Summer Rae		&nbsp;	Jan 27th 2014	Cleveland	Ohio
1	Diego	def. (pin)	Drew McIntyre		&nbsp;	Jan 27th 2014	Cleveland	Ohio
0	Billy Gunn	def. (pin)	Cody Rhodes	06:37	dark &nbsp;	Jan 26th 2014	Pittsburgh	Pennsylvania
1	Bray Wyatt	def. (pin)	Daniel Bryan	21:29	&nbsp;	Jan 26th 2014	Pittsburgh	Pennsylvania
2	Brock Lesnar	def. (pin)	The Big Show	02:01	&nbsp;	Jan 26th 2014	Pittsburgh	Pennsylvania
3	Randy Orton	def. (pin)	John Cena	20:55	pinfall or submission only	Jan 26th 2014	Pittsburgh	Pennsylvania
4	Batista	def.	Alberto Del Rio	55:06	30-man Royal Rumble	Jan 26th 2014	Pittsburgh	Pennsylvania
0	Rey Mysterio	def. (pin)	Antonio Cesaro		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
1	The Miz	def. (pin)	Brodus Clay		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
2	A. J. Lee	def. (pin)	Cameron		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
3	Curtis Axel	def. (pin)	Diego		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
4	Erick Rowan	def. (pin)	Darren Young		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
5	Kofi Kingston	def. (pin)	Fandango		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
6	Billy Gunn	draw (NC)	Big E. Langston		10-person tag	Jan 21st 2014	Grand Rapids	Michigan
0	R-Truth	def. (pin)	Damien Sandow		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
1	Brie Bella	def. (pin)	Aksana		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
2	Alberto Del Rio	def. (pin)	Sin Cara		&nbsp;	Jan 21st 2014	Grand Rapids	Michigan
0	Dean Ambrose	def. (pin)	Big E. Langston	10:51	6-person tag	Jan 20th 2014	Dayton	Ohio
1	Fandango	def. (pin)	Xavier Woods	01:07	&nbsp;	Jan 20th 2014	Dayton	Ohio
2	C. M. Punk	def. (pin)	Billy Gunn	09:03	&nbsp;	Jan 20th 2014	Dayton	Ohio
3	Alberto Del Rio	def. (sub)	Rey Mysterio	14:49	&nbsp;	Jan 20th 2014	Dayton	Ohio
4	A. J. Lee	def. (pin)	Cameron	02:27	&nbsp;	Jan 20th 2014	Dayton	Ohio
5	Jey Uso	def. (pin)	Erick Rowan	12:41	&nbsp;	Jan 20th 2014	Dayton	Ohio
6	Randy Orton	def. (DQ)	Kofi Kingston	05:08	&nbsp;	Jan 20th 2014	Dayton	Ohio
0	Brie Bella	def. (pin)	Alicia Fox		&nbsp;	Jan 20th 2014	Dayton	Ohio
1	Diego	def. (pin)	Drew McIntyre		6-person tag	Jan 20th 2014	Dayton	Ohio
0	Alexander Rusev	def. (pin)	Tyson Kidd		dark &nbsp;	Jan 14th 2014	Worcester	Massachusetts
1	Billy Gunn	def. (pin)	Cody Rhodes		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
2	Rey Mysterio	def. (pin)	Alberto Del Rio		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
3	Naomi	def. (pin)	Tamina Snuka		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
4	Big E. Langston	def. (pin)	Fandango		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
5	Jey Uso	def. (pin)	Antonio Cesaro		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
0	Kofi Kingston	def. (pin)	Curtis Axel		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
1	Damien Sandow	def. (pin)	Sin Cara		&nbsp;	Jan 14th 2014	Worcester	Massachusetts
2	Darren Young	def. (pin)	Drew McIntyre		handicap tag	Jan 14th 2014	Worcester	Massachusetts
3	Diego	def. (pin)	Drew McIntyre		6-person tag	Jan 14th 2014	Worcester	Massachusetts
0	Jey Uso	def. (DQ)	Bray Wyatt	05:37	&nbsp;	Jan 13th 2014	Providence	Rhode Island
1	John Cena	def. (pin)	Damien Sandow	10:26	&nbsp;	Jan 13th 2014	Providence	Rhode Island
2	The Big Show	def. (pin)	Jack Swagger	01:16	&nbsp;	Jan 13th 2014	Providence	Rhode Island
3	Dean Ambrose	def. (pin)	Billy Gunn	15:37	6-person tag	Jan 13th 2014	Providence	Rhode Island
4	A. J. Lee	def. (pin)	Cameron	02:50	&nbsp;	Jan 13th 2014	Providence	Rhode Island
5	Kofi Kingston	def. (pin)	Randy Orton	16:46	&nbsp;	Jan 13th 2014	Providence	Rhode Island
6	Cody Rhodes	def. (pin)	Curtis Axel	06:04	&nbsp;	Jan 13th 2014	Providence	Rhode Island
7	Alberto Del Rio	def. (sub)	Rey Mysterio	04:55	&nbsp;	Jan 13th 2014	Providence	Rhode Island
8	Jey Uso	def.	Bray Wyatt	10:52	steel cage (2 on 2)	Jan 13th 2014	Providence	Rhode Island
0	Xavier Woods	def. (pin)	Brodus Clay		&nbsp;	Jan 13th 2014	Providence	Rhode Island
1	Darren Young	def. (pin)	Drew McIntyre		&nbsp;	Jan 13th 2014	Providence	Rhode Island
0	Jey Uso	draw (DCO)	Erick Rowan		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
1	Diego	def. (pin)	Antonio Cesaro		8-person tag	Jan 7th 2014	Philadelphia	Pennsylvania
2	Randy Orton	def. (pin)	Big E. Langston		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
3	Xavier Woods	def. (pin)	Fandango		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
4	Dean Ambrose	def. (pin)	Billy Gunn		6-person tag	Jan 7th 2014	Philadelphia	Pennsylvania
0	Antonio Cesaro	def. (pin)	R-Truth		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
1	Alberto Del Rio	def. (pin)	Justin Gabriel		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
2	Cody Rhodes	def. (pin)	Drew McIntyre		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
3	A. J. Lee	def. (pin)	Kaitlyn		&nbsp;	Jan 7th 2014	Philadelphia	Pennsylvania
0	Jey Uso	def. (pin)	Daniel Bryan	08:46	6-person tag	Jan 6th 2014	Baltimore	Maryland
1	Big E. Langston	def. (pin)	Curtis Axel	02:44	&nbsp;	Jan 6th 2014	Baltimore	Maryland
2	Alberto Del Rio	def. (pin)	Sin Cara	02:17	&nbsp;	Jan 6th 2014	Baltimore	Maryland
3	Cody Rhodes	def. (pin)	Antonio Cesaro	11:52	&nbsp;	Jan 6th 2014	Baltimore	Maryland
4	The Great Khali	def. (pin)	Damien Sandow	01:56	&nbsp;	Jan 6th 2014	Baltimore	Maryland
5	Aksana	def. (pin)	Brie Bella	03:49	&nbsp;	Jan 6th 2014	Baltimore	Maryland
6	Grandmaster Sexay	def. (pin)	Drew McIntyre	05:23	6-person tag	Jan 6th 2014	Baltimore	Maryland
7	Roman Reigns	def. (pin)	C. M. Punk	14:30	&nbsp;	Jan 6th 2014	Baltimore	Maryland
0	Natalya	def. (pin)	Summer Rae		&nbsp;	Jan 6th 2014	Baltimore	Maryland
1	Ryback	def. (pin)	Dolph Ziggler		&nbsp;	Jan 6th 2014	Baltimore	Maryland
0	C. M. Punk	def. (pin)	Seth Rollins	17:55	&nbsp;	Dec 30th 2013	Richmond	Virginia
1	Dolph Ziggler	def. (pin)	Curtis Axel	04:15	&nbsp;	Dec 30th 2013	Richmond	Virginia
2	Big E. Langston	def. (pin)	Fandango	13:13	&nbsp;	Dec 30th 2013	Richmond	Virginia
3	Damien Sandow	def. (pin)	The Great Khali	04:54	&nbsp;	Dec 30th 2013	Richmond	Virginia
4	R-Truth	def. (pin)	Brodus Clay	04:05	&nbsp;	Dec 30th 2013	Richmond	Virginia
5	Aksana	def. (pin)	Brie Bella	05:23	10-person tag	Dec 30th 2013	Richmond	Virginia
6	Daniel Bryan	def. (pin)	Luke Harper	15:04	&nbsp;	Dec 30th 2013	Richmond	Virginia
7	Daniel Bryan	def. (pin)	Erick Rowan	06:35	&nbsp;	Dec 30th 2013	Richmond	Virginia
8	Daniel Bryan	def. (DQ)	Bray Wyatt	00:12	&nbsp;	Dec 30th 2013	Richmond	Virginia
0	Jack Swagger	def. (pin)	Tyson Kidd		&nbsp;	Dec 30th 2013	Richmond	Virginia
1	Jey Uso	def. (pin)	Darren Young		&nbsp;	Dec 30th 2013	Richmond	Virginia
0	Jey Uso	def. (DQ)	Roman Reigns		&nbsp;	Dec 29th 2013	Washington	DC
1	R-Truth	def.	Fandango		&nbsp;	Dec 29th 2013	Washington	DC
2	Cody Rhodes	def.	Erick Rowan		&nbsp;	Dec 29th 2013	Washington	DC
3	Nikki Bella	def.	Aksana		&nbsp;	Dec 29th 2013	Washington	DC
4	Big E. Langston	def.	Curtis Axel		&nbsp;	Dec 29th 2013	Washington	DC
